ID,Date,Time,zzPrice,zzChange,zzVolume,zzDelta,zzBars,zzAvgSz,zzTrades,zzSlope,zzWave,zzVolBar,zzVolPrice,zzRetrPer,zzDur
@NQ#_ZIG,12/8/2015,9:07:56,4657.5,5.75,0,0,1,0,0,84.1,c,0,0,76.67,0
@NQ#_ZIG,12/8/2015,9:07:57,4653,-4.5,0,0,2,0,0,-75.2,1,0,0,78.26,1
@NQ#_ZIG,12/8/2015,9:09:57,4660.75,7.75,1293,0,5,0,0,69,2,0,0,172.22,120
@NQ#_ZIG,12/8/2015,9:10:56,4656.75,-4,681,0,1,0,0,-81.6,3,681,0,51.61,59
@NQ#_ZIG,12/8/2015,9:10:57,4661,4.25,0,0,1,0,0,82,4,0,0,106.25,1
@NQ#_ZIG,12/8/2015,9:13:56,4651.25,-9.75,2392,0,5,0,0,-73.1,1,754,0,229.41,179
@NQ#_ZIG,12/8/2015,9:14:57,4656.25,5,412,0,4,0,0,64.6,a,0,0,51.28,61
@NQ#_ZIG,12/8/2015,9:14:58,4649.75,-6.5,0,0,3,0,0,-74.7,b,0,0,130,1
@NQ#_ZIG,12/8/2015,9:16:56,4656.25,6.5,1256,0,3,0,0,74.7,a,615,0,100,118
@NQ#_ZIG,12/8/2015,9:21:58,4636.25,-20,4938,0,12,0,0,-70.4,b,0,0,307.69,302
@NQ#_ZIG,12/8/2015,9:23:57,4641.75,5.5,1889,0,2,0,0,77.8,c,849,0,27.5,119
@NQ#_ZIG,12/8/2015,9:23:57,4636.5,-5.25,0,0,1,0,0,-83.5,1,0,0,95.45,0
@NQ#_ZIG,12/8/2015,9:27:57,4645.25,8.75,3516,0,9,0,0,58.6,2,0,0,166.67,240
@NQ#_ZIG,12/8/2015,9:28:56,4640.75,-4.5,960,0,1,0,0,-82.5,3,960,0,51.43,59
@NQ#_ZIG,12/8/2015,9:28:57,4644.75,4,0,0,1,0,0,81.6,a,0,0,88.89,1
@NQ#_ZIG,12/8/2015,9:29:56,4639.75,-5,923,0,1,0,0,-83.2,b,923,0,125,59
@NQ#_ZIG,12/8/2015,9:29:57,4645.75,6,0,0,2,0,0,78.8,a,0,0,120,1
@NQ#_ZIG,12/8/2015,9:30:57,4638.75,-7,595,0,3,0,0,-75.7,b,0,0,116.67,60
@NQ#_ZIG,12/8/2015,9:33:57,4658.25,19.5,3426,0,11,0,0,71.5,a,0,0,278.57,180
@NQ#_ZIG,12/8/2015,9:33:58,4650.5,-7.75,0,0,3,0,0,-77,1,0,0,39.74,1
@NQ#_ZIG,12/8/2015,9:37:57,4666.75,16.25,5375,0,9,0,0,71.8,2,0,0,209.68,239
@NQ#_ZIG,12/8/2015,9:38:56,4662.25,-4.5,1723,0,1,0,0,-82.5,3,1723,0,27.69,59
@NQ#_ZIG,12/8/2015,9:38:57,4666.5,4.25,0,0,1,0,0,82,a,0,0,94.44,1
@NQ#_ZIG,12/8/2015,9:40:56,4661.25,-5.25,1862,0,2,0,0,-77.2,b,709,0,123.53,119
@NQ#_ZIG,12/8/2015,9:40:56,4668,6.75,0,0,2,0,0,80,a,0,0,128.57,0
@NQ#_ZIG,12/8/2015,9:40:58,4661.75,-6.25,0,0,4,0,0,-69.2,1,0,0,92.59,2
@NQ#_ZIG,12/8/2015,9:41:57,4669.75,8,1118,0,4,0,0,73.5,2,0,0,128,59
@NQ#_ZIG,12/8/2015,9:42:56,4665.5,-4.25,905,0,1,0,0,-82,3,905,0,53.13,59
@NQ#_ZIG,12/8/2015,9:42:56,4672.5,7,0,0,2,0,0,80.4,4,0,0,164.71,0
@NQ#_ZIG,12/8/2015,9:43:56,4667.75,-4.75,2023,0,3,0,0,-69.4,5,2023,0,67.86,60
@NQ#_ZIG,12/8/2015,9:43:57,4672,4.25,0,0,1,0,0,82,a,0,0,89.47,1
@NQ#_ZIG,12/8/2015,9:44:55,4667.75,-4.25,1260,0,1,0,0,-82,1,1260,0,100,58
@NQ#_ZIG,12/8/2015,9:45:57,4678.25,10.5,919,0,5,0,0,74.2,2,0,0,247.06,62
@NQ#_ZIG,12/8/2015,9:45:57,4672.5,-5.75,0,0,1,0,0,-84.1,3,0,0,54.76,0
@NQ#_ZIG,12/8/2015,9:46:56,4678.5,6,1721,0,3,0,0,73.5,4,0,0,104.35,59
@NQ#_ZIG,12/8/2015,9:49:56,4671.25,-7.25,2587,0,4,0,0,-71.9,1,772,0,120.83,180
@NQ#_ZIG,12/8/2015,9:49:57,4677.25,6,0,0,2,0,0,78.8,a,0,0,82.76,1
@NQ#_ZIG,12/8/2015,9:50:56,4673,-4.25,1086,0,1,0,0,-82,1,1086,0,70.83,59
@NQ#_ZIG,12/8/2015,9:51:56,4677.5,4.5,616,0,1,0,0,82.5,2,616,0,105.88,60
@NQ#_ZIG,12/8/2015,9:52:58,4672.25,-5.25,734,0,2,0,0,-77.2,1,0,0,116.67,62
@NQ#_ZIG,12/8/2015,9:54:57,4677.25,5,1975,0,2,0,0,76.6,a,1037,0,95.24,119
@NQ#_ZIG,12/8/2015,9:56:57,4671,-6.25,2032,0,2,0,0,-79.2,b,2032,0,125,120
@NQ#_ZIG,12/8/2015,10:01:57,4686.75,15.75,5791,0,12,0,0,65.6,a,0,0,252,300
@NQ#_ZIG,12/8/2015,10:02:57,4682.25,-4.5,1743,0,1,0,0,-82.5,1,1743,0,28.57,60
@NQ#_ZIG,12/8/2015,10:03:57,4693,10.75,1449,0,5,0,0,74.6,2,0,0,238.89,60
@NQ#_ZIG,12/8/2015,10:04:56,4689,-4,1389,0,1,0,0,-81.6,3,1389,0,37.21,59
@NQ#_ZIG,12/8/2015,10:05:57,4695.5,6.5,1137,0,3,0,0,74.7,4,1137,0,162.5,61
@NQ#_ZIG,12/8/2015,10:16:56,4689.5,-6,8703,0,2,0,0,-78.8,5,4512,0,92.31,659
@NQ#_ZIG,12/8/2015,10:16:57,4695.25,5.75,0,0,2,0,0,78.3,a,0,0,95.83,1
@NQ#_ZIG,12/8/2015,10:19:57,4688,-7.25,2686,0,3,0,0,-76.2,b,1772,0,126.09,180
@NQ#_ZIG,12/8/2015,10:21:56,4699.5,11.5,2169,0,5,0,0,75.5,a,0,0,158.62,119
@NQ#_ZIG,12/8/2015,10:24:57,4686,-13.5,2806,0,8,0,0,-70.6,b,0,0,117.39,181
@NQ#_ZIG,12/8/2015,10:26:57,4689.75,3.75,1631,0,2,0,0,72.4,c,1631,0,27.78,120
@NQ#_ZIG,12/8/2015,10:27:57,4684,-5.75,686,0,2,0,0,-78.3,d,686,0,153.33,60
@NQ#_ZIG,12/8/2015,10:29:57,4688,4,1188,0,1,0,0,81.6,e,1188,0,69.57,120
@NQ#_ZIG,12/8/2015,10:31:58,4679.25,-8.75,2081,0,4,0,0,-74.8,f,0,0,218.75,121
@NQ#_ZIG,12/8/2015,10:33:57,4684,4.75,1402,0,1,0,0,82.9,g,1402,0,54.29,119
@NQ#_ZIG,12/8/2015,10:36:56,4677.75,-6.25,1836,0,2,0,0,-79.2,h,1004,0,131.58,179
@NQ#_ZIG,12/8/2015,10:38:56,4682,4.25,1134,0,1,0,0,82,i,1134,0,68,120
@NQ#_ZIG,12/8/2015,10:41:56,4676.25,-5.75,1694,0,2,0,0,-78.3,j,1694,0,135.29,180
@NQ#_ZIG,12/8/2015,10:46:57,4681.75,5.5,1721,0,2,0,0,77.8,k,842,0,95.65,301
@NQ#_ZIG,12/8/2015,10:48:56,4677.25,-4.5,1057,0,1,0,0,-82.5,1,1057,0,81.82,119
@NQ#_ZIG,12/8/2015,10:50:56,4681.75,4.5,501,0,1,0,0,82.5,a,501,0,100,120
@NQ#_ZIG,12/8/2015,10:53:56,4674.25,-7.5,1559,0,3,0,0,-76.6,b,1559,0,166.67,180
@NQ#_ZIG,12/8/2015,10:57:56,4684.5,10.25,2237,0,6,0,0,70.8,a,1845,0,136.67,240
@NQ#_ZIG,12/8/2015,10:58:56,4680.5,-4,671,0,2,0,0,-73.5,1,671,0,39.02,60
@NQ#_ZIG,12/8/2015,10:59:56,4686,5.5,374,0,1,0,0,83.8,2,374,0,137.5,60
@NQ#_ZIG,12/8/2015,11:02:57,4680,-6,1061,0,3,0,0,-73.5,1,213,0,109.09,181
@NQ#_ZIG,12/8/2015,11:04:56,4684.25,4.25,512,0,2,0,0,74.4,a,214,0,70.83,119
@NQ#_ZIG,12/8/2015,11:07:56,4675.25,-9,1398,0,4,0,0,-75.2,b,715,0,211.76,180
@NQ#_ZIG,12/8/2015,11:07:57,4682,6.75,0,0,3,0,0,75.2,c,0,0,75,1
@NQ#_ZIG,12/8/2015,11:07:57,4677,-5,0,0,1,0,0,-83.2,1,0,0,74.07,0
@NQ#_ZIG,12/8/2015,11:12:56,4683,6,1218,0,3,0,0,73.5,2,787,0,120,299
